"Country or Area","Year","Area","Sex","National and/or ethnic group","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2016","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2017","23401892","1"
"Australia","2016","Total","Both Sexes","Afgan","Census - de jure - complete tabulation","Final figure, complete","2017","48056","1"
"Australia","2016","Total","Both Sexes","Albanian","Census - de jure - complete tabulation","Final figure, complete","2017","11910","1"
"Australia","2016","Total","Both Sexes","Amhara","Census - de jure - complete tabulation","Final figure, complete","2017","208","1"
"Australia","2016","Total","Both Sexes","American","Census - de jure - complete tabulation","Final figure, complete","2017","20848","1"
"Australia","2016","Total","Both Sexes","Armenian","Census - de jure - complete tabulation","Final figure, complete","2017","14556","1"
"Australia","2016","Total","Both Sexes","Australian","Census - de jure - complete tabulation","Final figure, complete","2017","4833103","1"
"Australia","2016","Total","Both Sexes","Austrian","Census - de jure - complete tabulation","Final figure, complete","2017","18934","1"
"Australia","2016","Total","Both Sexes","Bangladeshi","Census - de jure - complete tabulation","Final figure, complete","2017","36439","1"
"Australia","2016","Total","Both Sexes","Basque","Census - de jure - complete tabulation","Final figure, complete","2017","310","1"
"Australia","2016","Total","Both Sexes","Belarus","Census - de jure - complete tabulation","Final figure, complete","2017","1509","1"
"Australia","2016","Total","Both Sexes","Belgian","Census - de jure - complete tabulation","Final figure, complete","2017","5634","1"
"Australia","2016","Total","Both Sexes","Bengali","Census - de jure - complete tabulation","Final figure, complete","2017","9289","1"
"Australia","2016","Total","Both Sexes","Brazil","Census - de jure - complete tabulation","Final figure, complete","2017","14350","1"
"Australia","2016","Total","Both Sexes","Bulgarian","Census - de jure - complete tabulation","Final figure, complete","2017","4337","1"
"Australia","2016","Total","Both Sexes","Burgher","Census - de jure - complete tabulation","Final figure, complete","2017","322","1"
"Australia","2016","Total","Both Sexes","Burmese","Census - de jure - complete tabulation","Final figure, complete","2017","19531","1"
"Australia","2016","Total","Both Sexes","Canadian","Census - de jure - complete tabulation","Final figure, complete","2017","10223","1"
"Australia","2016","Total","Both Sexes","Chin","Census - de jure - complete tabulation","Final figure, complete","2017","6926","1"
"Australia","2016","Total","Both Sexes","Chinese","Census - de jure - complete tabulation","Final figure, complete","2017","1125918","1"
"Australia","2016","Total","Both Sexes","Cook Islander","Census - de jure - complete tabulation","Final figure, complete","2017","12200","1"
"Australia","2016","Total","Both Sexes","Croatian","Census - de jure - complete tabulation","Final figure, complete","2017","88434","1"
"Australia","2016","Total","Both Sexes","Cubans","Census - de jure - complete tabulation","Final figure, complete","2017","570","1"
